"organismofinterest","variable","date_year","prop_noNA","prop_wNA"
"Escherichia coli","CPH_03_class",2007,0.0806783144912641,0.0670844609030053
"Escherichia coli","CPH_03_class",2008,0.0768431983385254,0.0640735313707207
"Escherichia coli","CPH_03_class",2009,0.0851990524948422,0.0711777848707309
"Escherichia coli","CPH_03_class",2010,0.0957502427365748,0.0819693094629156
"Escherichia coli","CPH_03_class",2011,0.108201799675468,0.0928246013667426
"Escherichia coli","CPH_03_class",2012,0.104847717626033,0.090453552614673
"Escherichia coli","CPH_03_class",2013,0.110366129275275,0.0966932875717774
"Escherichia coli","CPH_03_class",2014,0.125259515570934,0.109394936538849
"Escherichia coli","CPH_03_class",2015,0.13420257592622,0.117083998057848
"Escherichia coli","CPH_03_class",2016,0.145028188577498,0.123684760643858
"Escherichia coli","CPH_03_class",2017,0.152742889555141,0.131477994001534
"Escherichia coli","CPH_03_class",2018,0.161979752530934,0.142071881606765
"Escherichia coli","CPH_03_class",2019,0.17464308890331,0.153205721198321
"Escherichia coli","CPH_03_class",2020,0.174910071942446,0.153197857592943
"Escherichia coli","CPH_03_class",2021,0.172510638297872,0.152188602747954
"Escherichia coli","CPH_03_class",2022,0.180704441041348,0.159351789331533
"Klebsiella pneumoniae","CPH_03_class",2007,0.141954101965096,0.120719878462078
"Klebsiella pneumoniae","CPH_03_class",2008,0.149871134020619,0.127535914025661
"Klebsiella pneumoniae","CPH_03_class",2009,0.132149901380671,0.11228658217241
"Klebsiella pneumoniae","CPH_03_class",2010,0.135622317596567,0.117397303895552
"Klebsiella pneumoniae","CPH_03_class",2011,0.137040123824265,0.119447903694479
"Klebsiella pneumoniae","CPH_03_class",2012,0.12932913538387,0.114200171086399
"Klebsiella pneumoniae","CPH_03_class",2013,0.136022629442873,0.121006564551422
"Klebsiella pneumoniae","CPH_03_class",2014,0.13282201120039,0.117869490060501
"Klebsiella pneumoniae","CPH_03_class",2015,0.134493874919407,0.118982432124116
"Klebsiella pneumoniae","CPH_03_class",2016,0.138951877047115,0.120126334131997
"Klebsiella pneumoniae","CPH_03_class",2017,0.128849375080531,0.111831804965332
"Klebsiella pneumoniae","CPH_03_class",2018,0.13207790532697,0.116668565569101
"Klebsiella pneumoniae","CPH_03_class",2019,0.137254901960784,0.121104580237329
"Klebsiella pneumoniae","CPH_03_class",2020,0.138987203920501,0.121706997258314
"Klebsiella pneumoniae","CPH_03_class",2021,0.138287025235789,0.122557325200497
"Klebsiella pneumoniae","CPH_03_class",2022,0.140102098695406,0.12544438801422
"Enterobacter cloacae","CPH_03_class",2007,0.280769230769231,0.255960729312763
"Enterobacter cloacae","CPH_03_class",2008,0.26456400742115,0.242682096664398
"Enterobacter cloacae","CPH_03_class",2009,0.273633677991137,0.247082360786929
"Enterobacter cloacae","CPH_03_class",2010,0.254473872584109,0.231596091205212
"Enterobacter cloacae","CPH_03_class",2011,0.246096654275093,0.225323349217155
"Enterobacter cloacae","CPH_03_class",2012,0.272990586531499,0.253275109170306
"Enterobacter cloacae","CPH_03_class",2013,0.258241758241758,0.240321402483565
"Enterobacter cloacae","CPH_03_class",2014,0.282700421940928,0.263779527559055
"Enterobacter cloacae","CPH_03_class",2015,0.276288659793814,0.257395313100269
"Enterobacter cloacae","CPH_03_class",2016,0.249110320284698,0.225402504472272
"Enterobacter cloacae","CPH_03_class",2017,0.249318270354499,0.225829216654905
"Enterobacter cloacae","CPH_03_class",2018,0.262622149837134,0.234289865601162
"Enterobacter cloacae","CPH_03_class",2019,0.261729352462195,0.231243576567318
"Enterobacter cloacae","CPH_03_class",2020,0.280212483399734,0.246303501945525
