"organismofinterest","date_qrt","onset","n_inc","n_adm","inc"
"Acinetobacter Sp.","2007 Q1","Community-onset",110,127336,0.863856254319281
"Acinetobacter Sp.","2007 Q1","Hospital-onset",106,127336,0.832443299616762
"Acinetobacter Sp.","2007 Q1","Post discharge",34,127336,0.267010114971414
"Acinetobacter Sp.","2007 Q2","Community-onset",139,127771,1.0878837920968
"Acinetobacter Sp.","2007 Q2","Hospital-onset",141,127771,1.10353679629963
"Acinetobacter Sp.","2007 Q2","Post discharge",52,127771,0.406978109273622
"Acinetobacter Sp.","2007 Q3","Community-onset",157,127765,1.22881853402732
"Acinetobacter Sp.","2007 Q3","Hospital-onset",168,127765,1.31491410010566
"Acinetobacter Sp.","2007 Q3","Post discharge",63,127765,0.493092787539624
"Acinetobacter Sp.","2007 Q4","Community-onset",141,125063,1.12743177438571
"Acinetobacter Sp.","2007 Q4","Hospital-onset",143,125063,1.14342371444792
"Acinetobacter Sp.","2007 Q4","Post discharge",68,125063,0.543725962115094
"Acinetobacter Sp.","2008 Q1","Community-onset",139,131960,1.05334949984844
"Acinetobacter Sp.","2008 Q1","Hospital-onset",137,131960,1.03819339193695
"Acinetobacter Sp.","2008 Q1","Post discharge",49,131960,0.371324643831464
"Acinetobacter Sp.","2008 Q2","Community-onset",150,132154,1.13503942370265
"Acinetobacter Sp.","2008 Q2","Hospital-onset",129,132154,0.976133904384279
"Acinetobacter Sp.","2008 Q2","Post discharge",67,132154,0.506984275920517
"Acinetobacter Sp.","2008 Q3","Community-onset",179,131853,1.35757244810509
"Acinetobacter Sp.","2008 Q3","Hospital-onset",166,131853,1.258977801036
"Acinetobacter Sp.","2008 Q3","Post discharge",75,131853,0.568815271552411
"Acinetobacter Sp.","2008 Q4","Community-onset",160,127920,1.25078173858662
"Acinetobacter Sp.","2008 Q4","Hospital-onset",158,127920,1.23514696685428
"Acinetobacter Sp.","2008 Q4","Post discharge",59,127920,0.461225766103815
"Acinetobacter Sp.","2009 Q1","Community-onset",152,134338,1.13147434084176
"Acinetobacter Sp.","2009 Q1","Hospital-onset",138,134338,1.02725959892212
"Acinetobacter Sp.","2009 Q1","Post discharge",51,134338,0.379639416992958
"Acinetobacter Sp.","2009 Q2","Community-onset",155,138175,1.12176587660575
"Acinetobacter Sp.","2009 Q2","Hospital-onset",130,138175,0.940835896508051
"Acinetobacter Sp.","2009 Q2","Post discharge",53,138175,0.383571557807129
"Acinetobacter Sp.","2009 Q3","Community-onset",212,138183,1.53419740489062
"Acinetobacter Sp.","2009 Q3","Hospital-onset",146,138183,1.05656991091524
"Acinetobacter Sp.","2009 Q3","Post discharge",74,138183,0.535521735669366
"Acinetobacter Sp.","2009 Q4","Community-onset",193,132778,1.4535540526292
"Acinetobacter Sp.","2009 Q4","Hospital-onset",157,132778,1.18242479928904
"Acinetobacter Sp.","2009 Q4","Post discharge",60,132778,0.45188208890027
"Acinetobacter Sp.","2010 Q1","Community-onset",138,138694,0.994996178637865
"Acinetobacter Sp.","2010 Q1","Hospital-onset",105,138694,0.757062309833158
"Acinetobacter Sp.","2010 Q1","Post discharge",51,138694,0.36771597906182
"Acinetobacter Sp.","2010 Q2","Community-onset",170,141169,1.20423039052483
"Acinetobacter Sp.","2010 Q2","Hospital-onset",100,141169,0.708370817955783
"Acinetobacter Sp.","2010 Q2","Post discharge",63,141169,0.446273615312144
"Acinetobacter Sp.","2010 Q3","Community-onset",200,140257,1.42595378483783
"Acinetobacter Sp.","2010 Q3","Hospital-onset",139,140257,0.991037880462294
"Acinetobacter Sp.","2010 Q3","Post discharge",90,140257,0.641679203177025
"Acinetobacter Sp.","2010 Q4","Community-onset",165,134637,1.22551750261815
"Acinetobacter Sp.","2010 Q4","Hospital-onset",109,134637,0.809584289608354
"Acinetobacter Sp.","2010 Q4","Post discharge",56,134637,0.415933213009797
"Acinetobacter Sp.","2011 Q1","Community-onset",106,139539,0.75964425716108
"Acinetobacter Sp.","2011 Q1","Hospital-onset",117,139539,0.838475264979683
"Acinetobacter Sp.","2011 Q1","Post discharge",43,139539,0.308157576018174
"Acinetobacter Sp.","2011 Q2","Community-onset",159,141372,1.12469230116289
"Acinetobacter Sp.","2011 Q2","Hospital-onset",97,141372,0.686133039074216
"Acinetobacter Sp.","2011 Q2","Post discharge",42,141372,0.29708853238265
"Acinetobacter Sp.","2011 Q3","Community-onset",186,139364,1.33463448236273
"Acinetobacter Sp.","2011 Q3","Hospital-onset",112,139364,0.803650871100141
"Acinetobacter Sp.","2011 Q3","Post discharge",56,139364,0.40182543555007
"Acinetobacter Sp.","2011 Q4","Community-onset",161,135771,1.18582024143595
"Acinetobacter Sp.","2011 Q4","Hospital-onset",96,135771,0.707072938992863
"Acinetobacter Sp.","2011 Q4","Post discharge",53,135771,0.390363185068976
"Acinetobacter Sp.","2012 Q1","Community-onset",146,140774,1.03712333243355
"Acinetobacter Sp.","2012 Q1","Hospital-onset",102,140774,0.724565615809738
"Acinetobacter Sp.","2012 Q1","Post discharge",39,140774,0.277039794280194
"Acinetobacter Sp.","2012 Q2","Community-onset",147,140781,1.04417499520532
"Acinetobacter Sp.","2012 Q2","Hospital-onset",101,140781,0.717426357249913
"Acinetobacter Sp.","2012 Q2","Post discharge",51,140781,0.362264794254907
"Acinetobacter Sp.","2012 Q3","Community-onset",174,138247,1.25861682351154
"Acinetobacter Sp.","2012 Q3","Hospital-onset",120,138247,0.868011602421752
"Acinetobacter Sp.","2012 Q3","Post discharge",77,138247,0.556974111553958
"Acinetobacter Sp.","2012 Q4","Community-onset",135,133753,1.00932315536848
"Acinetobacter Sp.","2012 Q4","Hospital-onset",98,133753,0.732693846119339
"Acinetobacter Sp.","2012 Q4","Post discharge",52,133753,0.388776326512303
"Acinetobacter Sp.","2013 Q1","Community-onset",107,136643,0.783062432762747
"Acinetobacter Sp.","2013 Q1","Hospital-onset",68,136643,0.497647153531465
"Acinetobacter Sp.","2013 Q1","Post discharge",38,136643,0.278096938738172
"Acinetobacter Sp.","2013 Q2","Community-onset",127,138223,0.918805119263798
"Acinetobacter Sp.","2013 Q2","Hospital-onset",60,138223,0.434081158707306
"Acinetobacter Sp.","2013 Q2","Post discharge",52,138223,0.376203670879665
"Acinetobacter Sp.","2013 Q3","Community-onset",190,137496,1.38185838133473
"Acinetobacter Sp.","2013 Q3","Hospital-onset",76,137496,0.552743352533892
"Acinetobacter Sp.","2013 Q3","Post discharge",79,137496,0.574562169081282
"Acinetobacter Sp.","2013 Q4","Community-onset",155,134299,1.15414113284537
"Acinetobacter Sp.","2013 Q4","Hospital-onset",81,134299,0.603131817809515
