"organismofinterest","date_qrt","n_inc","n_adm","inc"
"Acinetobacter Sp.","2007 Q1",250,127336,1.96330966890746
"Acinetobacter Sp.","2007 Q2",332,127771,2.59839869767005
"Acinetobacter Sp.","2007 Q3",388,127765,3.0368254216726
"Acinetobacter Sp.","2007 Q4",352,125063,2.81458145094872
"Acinetobacter Sp.","2008 Q1",325,131960,2.46286753561685
"Acinetobacter Sp.","2008 Q2",346,132154,2.61815760400745
"Acinetobacter Sp.","2008 Q3",420,131853,3.1853655206935
"Acinetobacter Sp.","2008 Q4",377,127920,2.94715447154472
"Acinetobacter Sp.","2009 Q1",341,134338,2.53837335675684
"Acinetobacter Sp.","2009 Q2",338,138175,2.44617333092093
"Acinetobacter Sp.","2009 Q3",432,138183,3.12628905147522
"Acinetobacter Sp.","2009 Q4",410,132778,3.08786094081851
"Acinetobacter Sp.","2010 Q1",294,138694,2.11977446753284
"Acinetobacter Sp.","2010 Q2",333,141169,2.35887482379276
"Acinetobacter Sp.","2010 Q3",429,140257,3.05867086847715
"Acinetobacter Sp.","2010 Q4",330,134637,2.4510350052363
"Acinetobacter Sp.","2011 Q1",266,139539,1.90627709815894
"Acinetobacter Sp.","2011 Q2",298,141372,2.10791387261976
"Acinetobacter Sp.","2011 Q3",354,139364,2.54011078901294
"Acinetobacter Sp.","2011 Q4",310,135771,2.28325636549779
"Acinetobacter Sp.","2012 Q1",287,140774,2.03872874252348
"Acinetobacter Sp.","2012 Q2",299,140781,2.12386614671014
"Acinetobacter Sp.","2012 Q3",371,138247,2.68360253748725
"Acinetobacter Sp.","2012 Q4",285,133753,2.13079332800012
"Acinetobacter Sp.","2013 Q1",213,136643,1.55880652503238
"Acinetobacter Sp.","2013 Q2",239,138223,1.72908994885077
"Acinetobacter Sp.","2013 Q3",345,137496,2.5091639029499
"Acinetobacter Sp.","2013 Q4",291,134299,2.16680690101937
"Acinetobacter Sp.","2014 Q1",208,136466,1.52418917532572
"Acinetobacter Sp.","2014 Q2",234,141215,1.65704776404773
"Acinetobacter Sp.","2014 Q3",278,139658,1.99057698091051
"Acinetobacter Sp.","2014 Q4",254,134458,1.8890657305627
"Acinetobacter Sp.","2015 Q1",217,135886,1.59692683572995
"Acinetobacter Sp.","2015 Q2",214,138705,1.54284272376627
"Acinetobacter Sp.","2015 Q3",263,137203,1.91686770697434
"Acinetobacter Sp.","2015 Q4",246,132219,1.86054954280398
"Acinetobacter Sp.","2016 Q1",212,138117,1.53493052991304
"Acinetobacter Sp.","2016 Q2",205,137059,1.49570622870443
"Acinetobacter Sp.","2016 Q3",263,135157,1.94588515578179
"Acinetobacter Sp.","2016 Q4",249,130683,1.90537407313882
"Acinetobacter Sp.","2017 Q1",185,136477,1.35553976127846
"Acinetobacter Sp.","2017 Q2",217,136124,1.594134759484
"Acinetobacter Sp.","2017 Q3",258,133818,1.92799174998879
"Acinetobacter Sp.","2017 Q4",201,132108,1.52148242347171
"Acinetobacter Sp.","2018 Q1",177,136697,1.29483456110961
"Acinetobacter Sp.","2018 Q2",182,136870,1.32972893986995
"Acinetobacter Sp.","2018 Q3",264,133799,1.973108917107
"Acinetobacter Sp.","2018 Q4",204,131059,1.55655086640368
"Acinetobacter Sp.","2019 Q1",147,134984,1.08901795768387
"Acinetobacter Sp.","2019 Q2",193,136761,1.41122103523665
"Acinetobacter Sp.","2019 Q3",184,133801,1.37517656818708
"Acinetobacter Sp.","2019 Q4",181,129551,1.39713317535179
"Acinetobacter Sp.","2020 Q1",144,124192,1.15949497552177
"Acinetobacter Sp.","2020 Q2",123,93235,1.31924706387086
"Acinetobacter Sp.","2020 Q3",181,113339,1.59697897458068
"Acinetobacter Sp.","2020 Q4",181,113705,1.59183852952816
"Acinetobacter Sp.","2021 Q1",121,112708,1.07357064272279
"Acinetobacter Sp.","2021 Q2",143,122643,1.16598582878762
"Acinetobacter Sp.","2021 Q3",215,121660,1.7672201216505
"Acinetobacter Sp.","2021 Q4",183,114060,1.6044187269858
"Acinetobacter Sp.","2022 Q1",116,110418,1.05055335180858
"Enterobacter cloacae","2007 Q1",548,127336,4.30357479424515
"Enterobacter cloacae","2007 Q2",708,127771,5.5411634878024
"Enterobacter cloacae","2007 Q3",899,127765,7.03635580949399
"Enterobacter cloacae","2007 Q4",697,125063,5.57319111167971
"Enterobacter cloacae","2008 Q1",618,131960,4.68323734464989
"Enterobacter cloacae","2008 Q2",717,132154,5.42548844529867
"Enterobacter cloacae","2008 Q3",864,131853,6.55275192828377
"Enterobacter cloacae","2008 Q4",739,127920,5.77704815509694
"Enterobacter cloacae","2009 Q1",634,134338,4.71943902693207
"Enterobacter cloacae","2009 Q2",798,138175,5.77528496471865
"Enterobacter cloacae","2009 Q3",843,138183,6.10060571850372
"Enterobacter cloacae","2009 Q4",724,132778,5.45271053939659
"Enterobacter cloacae","2010 Q1",671,138694,4.8379886656957
"Enterobacter cloacae","2010 Q2",737,141169,5.22069292833412
"Enterobacter cloacae","2010 Q3",928,140257,6.61642556164755
"Enterobacter cloacae","2010 Q4",734,134637,5.45169604194984
"Enterobacter cloacae","2011 Q1",688,139539,4.93052121629079
"Enterobacter cloacae","2011 Q2",741,141372,5.24149053560818
"Enterobacter cloacae","2011 Q3",818,139364,5.86952154071353
"Enterobacter cloacae","2011 Q4",691,135771,5.08945209212571
"Enterobacter cloacae","2012 Q1",657,140774,4.66705499595096
"Enterobacter cloacae","2012 Q2",741,140781,5.263494363586
"Enterobacter cloacae","2012 Q3",855,138247,6.18458266725499
"Enterobacter cloacae","2012 Q4",724,133753,5.41296269990206
"Enterobacter cloacae","2013 Q1",582,136643,4.25927416698989
"Enterobacter cloacae","2013 Q2",664,138223,4.80383148969419
"Enterobacter cloacae","2013 Q3",801,137496,5.82562401815326
"Enterobacter cloacae","2013 Q4",691,134299,5.1452356309429
"Enterobacter cloacae","2014 Q1",606,136466,4.4406665396509
"Enterobacter cloacae","2014 Q2",720,141215,5.09860850476224
"Enterobacter cloacae","2014 Q3",781,139658,5.59223245356514
"Enterobacter cloacae","2014 Q4",687,134458,5.10940219250621
"Enterobacter cloacae","2015 Q1",609,135886,4.48169789382276
"Enterobacter cloacae","2015 Q2",594,138705,4.28246999026711
"Enterobacter cloacae","2015 Q3",721,137203,5.2549871358498
"Enterobacter cloacae","2015 Q4",679,132219,5.13541926651994
"Enterobacter cloacae","2016 Q1",623,138117,4.51066849120673
"Enterobacter cloacae","2016 Q2",687,137059,5.01243989814605
"Enterobacter cloacae","2016 Q3",787,135157,5.82285786159799
"Enterobacter cloacae","2016 Q4",698,130683,5.34116908855781
"Enterobacter cloacae","2017 Q1",664,136477,4.86528865669673
"Enterobacter cloacae","2017 Q2",704,136124,5.17175516440892
"Enterobacter cloacae","2017 Q3",756,133818,5.64946419764157
"Enterobacter cloacae","2017 Q4",710,132108,5.37439065007418
"Enterobacter cloacae","2018 Q1",645,136697,4.71846492607738
"Enterobacter cloacae","2018 Q2",662,136870,4.83670636370278
"Enterobacter cloacae","2018 Q3",736,133799,5.5007884961771
"Enterobacter cloacae","2018 Q4",710,131059,5.41740742718928
"Enterobacter cloacae","2019 Q1",721,134984,5.34137379244948
"Enterobacter cloacae","2019 Q2",702,136761,5.13304231469498
"Enterobacter cloacae","2019 Q3",843,133801,6.30040134229191
"Enterobacter cloacae","2019 Q4",653,129551,5.04048598621392
"Enterobacter cloacae","2020 Q1",598,124192,4.81512496779181
"Enterobacter cloacae","2020 Q2",573,93235,6.1457607121789
"Enterobacter cloacae","2020 Q3",727,113339,6.41438516309479
"Enterobacter cloacae","2020 Q4",672,113705,5.91003034167363
"Enterobacter cloacae","2021 Q1",649,112708,5.75824253824041
"Enterobacter cloacae","2021 Q2",741,122643,6.04192656735403
"Enterobacter cloacae","2021 Q3",796,121660,6.54282426434325
"Enterobacter cloacae","2021 Q4",695,114060,6.09328423636682
"Enterobacter cloacae","2022 Q1",557,110418,5.04446738756362
"Enterococcus faecalis","2007 Q1",1699,127336,13.3426525098951
"Enterococcus faecalis","2007 Q2",1950,127771,15.2616790977608
"Enterococcus faecalis","2007 Q3",2022,127765,15.8259304191289
"Enterococcus faecalis","2007 Q4",2050,125063,16.3917385637639
"Enterococcus faecalis","2008 Q1",2157,131960,16.3458623825402
"Enterococcus faecalis","2008 Q2",2154,132154,16.2991661243701
"Enterococcus faecalis","2008 Q3",2232,131853,16.9279424813997
"Enterococcus faecalis","2008 Q4",2219,127920,17.3467792370231
"Enterococcus faecalis","2009 Q1",2268,134338,16.882788190981
